Municipios;Sexo;Periodo;Total
29003 Alfarnate;Hombres;2005;717
29003 Alfarnate;Hombres;2004;737
29003 Alfarnate;Hombres;2003;726
29003 Alfarnate;Hombres;2002;740
29003 Alfarnate;Hombres;2001;738
29003 Alfarnate;Hombres;2000;741
29003 Alfarnate;Hombres;1999;730
29003 Alfarnate;Hombres;1998;744
29003 Alfarnate;Hombres;1997;""
29003 Alfarnate;Hombres;1996;742
29003 Alfarnate;Mujeres;2022;505
29003 Alfarnate;Mujeres;2021;516
29003 Alfarnate;Mujeres;2020;520
29003 Alfarnate;Mujeres;2019;523
29003 Alfarnate;Mujeres;2018;530
29003 Alfarnate;Mujeres;2017;540
29003 Alfarnate;Mujeres;2016;551
29003 Alfarnate;Mujeres;2015;569
29003 Alfarnate;Mujeres;2014;591
29003 Alfarnate;Mujeres;2013;607
29003 Alfarnate;Mujeres;2012;636
29003 Alfarnate;Mujeres;2011;640
29003 Alfarnate;Mujeres;2010;647
29003 Alfarnate;Mujeres;2009;650
29003 Alfarnate;Mujeres;2008;660
29003 Alfarnate;Mujeres;2007;661
29003 Alfarnate;Mujeres;2006;672
29003 Alfarnate;Mujeres;2005;681
29003 Alfarnate;Mujeres;2004;676
29003 Alfarnate;Mujeres;2003;675
29003 Alfarnate;Mujeres;2002;690
29003 Alfarnate;Mujeres;2001;691
29003 Alfarnate;Mujeres;2000;702
29003 Alfarnate;Mujeres;1999;701
29003 Alfarnate;Mujeres;1998;707
29003 Alfarnate;Mujeres;1997;""
29003 Alfarnate;Mujeres;1996;705
29004 Alfarnatejo;Total;2022;364
29004 Alfarnatejo;Total;2021;358
29004 Alfarnatejo;Total;2020;364
29004 Alfarnatejo;Total;2019;377
29004 Alfarnatejo;Total;2018;394
29004 Alfarnatejo;Total;2017;397
29004 Alfarnatejo;Total;2016;405
29004 Alfarnatejo;Total;2015;463
29004 Alfarnatejo;Total;2014;477
29004 Alfarnatejo;Total;2013;515
29004 Alfarnatejo;Total;2012;532
29004 Alfarnatejo;Total;2011;546
29004 Alfarnatejo;Total;2010;543
29004 Alfarnatejo;Total;2009;538
29004 Alfarnatejo;Total;2008;516
29004 Alfarnatejo;Total;2007;478
29004 Alfarnatejo;Total;2006;448
29004 Alfarnatejo;Total;2005;404
29004 Alfarnatejo;Total;2004;394
29004 Alfarnatejo;Total;2003;387
29004 Alfarnatejo;Total;2002;388
29004 Alfarnatejo;Total;2001;392
29004 Alfarnatejo;Total;2000;399
29004 Alfarnatejo;Total;1999;408
29004 Alfarnatejo;Total;1998;405
29004 Alfarnatejo;Total;1997;""
29004 Alfarnatejo;Total;1996;422
29004 Alfarnatejo;Hombres;2022;189
29004 Alfarnatejo;Hombres;2021;185
29004 Alfarnatejo;Hombres;2020;184
29004 Alfarnatejo;Hombres;2019;193
29004 Alfarnatejo;Hombres;2018;204
29004 Alfarnatejo;Hombres;2017;210
29004 Alfarnatejo;Hombres;2016;207
29004 Alfarnatejo;Hombres;2015;237
29004 Alfarnatejo;Hombres;2014;243
29004 Alfarnatejo;Hombres;2013;267
29004 Alfarnatejo;Hombres;2012;273
29004 Alfarnatejo;Hombres;2011;278
29004 Alfarnatejo;Hombres;2010;274
29004 Alfarnatejo;Hombres;2009;273
29004 Alfarnatejo;Hombres;2008;268
29004 Alfarnatejo;Hombres;2007;250
29004 Alfarnatejo;Hombres;2006;232
29004 Alfarnatejo;Hombres;2005;211
29004 Alfarnatejo;Hombres;2004;206
29004 Alfarnatejo;Hombres;2003;205
29004 Alfarnatejo;Hombres;2002;208
29004 Alfarnatejo;Hombres;2001;210
29004 Alfarnatejo;Hombres;2000;213
29004 Alfarnatejo;Hombres;1999;216
29004 Alfarnatejo;Hombres;1998;217
29004 Alfarnatejo;Hombres;1997;""
29004 Alfarnatejo;Hombres;1996;234
29004 Alfarnatejo;Mujeres;2022;175
29004 Alfarnatejo;Mujeres;2021;173
29004 Alfarnatejo;Mujeres;2020;180
